Mode,Filter_bw,step_size
USB,1.8K^2.1K^2.4K^2.7K^3.3K^6.0K,1^10^50^100^500^1K^2K^3K
LSB,1.8K^2.1K^2.4K^2.7K^3.3K^6.0K,1^10^50^100^500^1K^2K^3K
AM,5.6K^6.0K^8.0K^10K^14K^20K,250^500^2.5K^3K^5K^9K^10K
CW,50^100^250^400^800^3.0K,1^5^10^50^100^200^400
SAM,5.6K^6.0K^8.0K^10K^14K^20K,250^500^2.5K^3K^5K^9K^10K
DIGL,100^300^600^1.0K^3.0K^6.0K,1^5^10^20^100^250^500^1K
DIGU,100^300^600^1.0K^3.0K^6.0K,1^5^10^20^100^250^500^1K
RTTY,250^300^350^400^1.0K^3.0K,1^5^10^20^100^250^500^1K
FM,,12.5^50^250^500^2.5K^3K^5K^10K
NFM,,12.5^50^250^500^2.5K^3K^5K^10K
DFM,,12.5^50^250^500^2.5K^3K^5K^10K
